dataset_name,sample_id,candidate_index,candidate_class,true_label,is_ground_truth,is_key_candidate,baseline_top1,baseline_margin,entropy,hop2_activation,prompt_count,prompt_count_log1p,base_score,orig_score,ours_score,orig_minus_base,ours_minus_base,orig_minus_ours,oracle_label
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-5QrBL6MzLg_60.000_70.000.wav,14,train horn,train horn,1,1,0.3920403718948364,0.049376100301742554,0.9984048709371458,1.0,37,3.6375861597263857,0.3920403718948364,0.5398021936416626,0.46116623282432556,0.14776182174682617,0.06912586092948914,0.07863596081733704,1
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-5QrBL6MzLg_60.000_70.000.wav,16,"air horn, truck horn",train horn,0,1,0.3920403718948364,0.049376100301742554,0.9984048709371458,1.0,37,3.6375861597263857,0.34266427159309387,0.34266427159309387,0.34266427159309387,0.0,0.0,0.0,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-5QrBL6MzLg_60.000_70.000.wav,13,train,train horn,1,1,0.3920403718948364,0.049376100301742554,0.9984048709371458,1.0,37,3.6375861597263857,0.2695556879043579,0.531437337398529,0.3904854357242584,0.26188164949417114,0.12092974781990051,0.14095190167427063,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-5QrBL6MzLg_60.000_70.000.wav,7,"fire engine, fire truck (siren)",train horn,0,0,0.3920403718948364,0.049376100301742554,0.9984048709371458,1.0,37,3.6375861597263857,0.24518027901649475,0.24518027901649475,0.24518027901649475,0.0,0.0,0.0,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-5QrBL6MzLg_60.000_70.000.wav,15,truck,train horn,0,1,0.3920403718948364,0.049376100301742554,0.9984048709371458,1.0,37,3.6375861597263857,0.19030043482780457,0.39916884899139404,0.287100613117218,0.20886841416358948,0.09680017828941345,0.11206823587417603,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-E0shPRxAbo_30.000_40.000.wav,13,train,train horn,1,1,0.20438291132450104,0.008007362484931946,0.9997509990552658,1.0,36,3.6109179126442243,0.20438291132450104,0.4291902184486389,0.3265819549560547,0.22480730712413788,0.12219904363155365,0.10260826349258423,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-E0shPRxAbo_30.000_40.000.wav,14,train horn,train horn,1,1,0.20438291132450104,0.008007362484931946,0.9997509990552658,1.0,36,3.6109179126442243,0.1963755488395691,0.39986923336982727,0.30627700686454773,0.20349368453025818,0.10990145802497864,0.09359222650527954,1
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-E0shPRxAbo_30.000_40.000.wav,7,"fire engine, fire truck (siren)",train horn,0,1,0.20438291132450104,0.008007362484931946,0.9997509990552658,1.0,36,3.6109179126442243,0.186052143573761,0.186052143573761,0.186052143573761,0.0,0.0,0.0,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-E0shPRxAbo_30.000_40.000.wav,16,"air horn, truck horn",train horn,0,0,0.20438291132450104,0.008007362484931946,0.9997509990552658,1.0,36,3.6109179126442243,0.14634975790977478,0.14634975790977478,0.14634975790977478,0.0,0.0,0.0,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-E0shPRxAbo_30.000_40.000.wav,8,motorcycle,train horn,0,1,0.20438291132450104,0.008007362484931946,0.9997509990552658,1.0,36,3.6109179126442243,0.13270129263401031,0.31214895844459534,0.2302365005016327,0.17944766581058502,0.09753520786762238,0.08191245794296265,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-GCwoyCnYsY_0.000_10.000.wav,14,train horn,train horn,1,1,0.18163050711154938,0.021815136075019836,0.999776034342155,1.0,53,3.988984046564274,0.18163050711154938,0.41354212164878845,0.30854514241218567,0.23191161453723907,0.1269146353006363,0.10499697923660278,1
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-GCwoyCnYsY_0.000_10.000.wav,13,train,train horn,0,1,0.18163050711154938,0.021815136075019836,0.999776034342155,1.0,53,3.988984046564274,0.15981537103652954,0.3658101558685303,0.27423977851867676,0.20599478483200073,0.11442440748214722,0.09157037734985352,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-GCwoyCnYsY_0.000_10.000.wav,6,civil defense siren,train horn,0,1,0.18163050711154938,0.021815136075019836,0.999776034342155,1.0,53,3.988984046564274,0.1223994642496109,0.2397543340921402,0.1900789737701416,0.1173548698425293,0.0676795095205307,0.049675360321998596,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-GCwoyCnYsY_0.000_10.000.wav,16,"air horn, truck horn",train horn,0,0,0.18163050711154938,0.021815136075019836,0.999776034342155,1.0,53,3.988984046564274,0.1216650903224945,0.1216650903224945,0.1216650903224945,0.0,0.0,0.0,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-GCwoyCnYsY_0.000_10.000.wav,2,bus,train horn,0,1,0.18163050711154938,0.021815136075019836,0.999776034342155,1.0,53,3.988984046564274,0.11169786751270294,0.24123604595661163,0.18580302596092224,0.1295381784439087,0.0741051584482193,0.05543301999568939,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Gbohom8C4Q_30.000_40.000.wav,14,train horn,train horn,1,1,0.3461092412471771,0.003776639699935913,0.9984675332232649,1.0,36,3.6109179126442243,0.3461092412471771,0.6469926238059998,0.48902466893196106,0.30088338255882263,0.14291542768478394,0.1579679548740387,1
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Gbohom8C4Q_30.000_40.000.wav,16,"air horn, truck horn",train horn,1,1,0.3461092412471771,0.003776639699935913,0.9984675332232649,1.0,36,3.6109179126442243,0.3423326015472412,0.3423326015472412,0.3423326015472412,0.0,0.0,0.0,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Gbohom8C4Q_30.000_40.000.wav,7,"fire engine, fire truck (siren)",train horn,0,1,0.3461092412471771,0.003776639699935913,0.9984675332232649,1.0,36,3.6109179126442243,0.20669102668762207,0.20669102668762207,0.20669102668762207,0.0,0.0,0.0,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Gbohom8C4Q_30.000_40.000.wav,6,civil defense siren,train horn,0,1,0.3461092412471771,0.003776639699935913,0.9984675332232649,1.0,36,3.6109179126442243,0.20502778887748718,0.37489399313926697,0.28849685192108154,0.16986620426177979,0.08346906304359436,0.08639714121818542,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Gbohom8C4Q_30.000_40.000.wav,4,car alarm,train horn,0,1,0.3461092412471771,0.003776639699935913,0.9984675332232649,1.0,36,3.6109179126442243,0.1950654834508896,0.38682228326797485,0.28760191798210144,0.19175679981708527,0.09253643453121185,0.09922036528587341,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Qfk_Q2ctBs_30.000_40.000.wav,13,train,train horn,1,1,0.3494800627231598,0.11332777142524719,0.9988026209093205,1.0,50,3.9318256327243257,0.3494800627231598,0.532694399356842,0.4387413263320923,0.18321433663368225,0.0892612636089325,0.09395307302474976,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Qfk_Q2ctBs_30.000_40.000.wav,14,train horn,train horn,1,1,0.3494800627231598,0.11332777142524719,0.9988026209093205,1.0,50,3.9318256327243257,0.2361522912979126,0.4745095670223236,0.34984928369522095,0.238357275724411,0.11369699239730835,0.12466028332710266,1
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Qfk_Q2ctBs_30.000_40.000.wav,7,"fire engine, fire truck (siren)",train horn,0,1,0.3494800627231598,0.11332777142524719,0.9988026209093205,1.0,50,3.9318256327243257,0.1976126730442047,0.1976126730442047,0.1976126730442047,0.0,0.0,0.0,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Qfk_Q2ctBs_30.000_40.000.wav,2,bus,train horn,0,1,0.3494800627231598,0.11332777142524719,0.9988026209093205,1.0,50,3.9318256327243257,0.191470667719841,0.4475427269935608,0.31437280774116516,0.2560720592737198,0.12290214002132416,0.13316991925239563,0
dcase,/home/star/zkx/iknow-audio/data/DCASE17-T4/audio/Y-Qfk_Q2ctBs_30.000_40.000.wav,8,motorcycle,train horn,0,0,0.3494800627231598,0.11332777142524719,0.9988026209093205,1.0,50,3.9318256327243257,0.19059520959854126,0.3481612205505371,0.26707738637924194,0.15756601095199585,0.07648217678070068,0.08108383417129517,0
